weight,value
19,17
8,45
14,13
33,77
11,15
9,70
15,22
20,23
2,88
8,95
43,51
21,22
21,28
39,85
5,98
33,46
25,70
2,66
9,26
12,74
37,65
35,49
29,58
3,19
13,22
48,86
11,25
26,39
44,89
12,78
2,29
31,56
1,27
39,58
12,39
42,51
9,81
19,14
32,36
5,97
24,84
16,54
7,60
34,42
11,83
31,56
29,12
33,80
43,56
11,71
25,75
9,74
33,64
48,78
4,32
16,28
10,46
35,18
40,48
2,45
43,99
1,41
5,66
10,75
39,72
2,68
37,91
4,67
50,96
43,56
45,17
20,77
46,59
6,75
32,33
2,84
35,97
15,77
41,32
16,54
37,31
28,90
2,77
39,67
37,80
32,45
50,51
21,90
48,97
46,65
13,95
25,17
12,51
42,35
17,23
20,33
4,20
38,62
2,79
41,55
14,32
50,29
5,10
33,41
17,83
40,41
18,34
49,80
23,38
38,62
42,22
36,81
15,85
33,41
13,54
2,96
35,94
35,56
47,96
25,58
6,15
21,61
28,14
32,96
4,66
7,97
13,33
39,35
19,93
45,92
24,22
7,67
33,12
43,11
43,65
46,43
14,82
26,45
16,42
6,48
21,11
35,29
42,63
15,63
29,28
5,39
7,40
18,51
5,25
10,73
28,27
33,43
27,41
36,39
27,45
14,58
13,66
40,21
28,15
13,26
13,41
16,43
14,52
11,59
12,75
20,38
19,57
14,52
38,85
41,96
48,77
41,26
18,67
46,58
29,20
15,78
50,67
32,17
49,67
38,30
21,23
35,83
14,55
36,23
22,51
8,57
48,93
6,29
42,44
21,61
29,16
22,53
10,38
29,58
1,70
16,31
12,97
33,58
8,100
17,92
